1079750172@7.4268229/43.7419454,43.7419454,7.4268229
25243378@7.4267865/43.7418735,43.7418735,7.4267865
25243379@7.4267880/43.7418214,43.7418214,7.426788
25243381@7.4267962/43.7417519,43.7417519,7.4267962
1868723925@7.4267905/43.7416842,43.7416842,7.4267905
11407697331@7.4280368/43.7378020,43.737802,7.4280368
11409061518@7.4281757/43.7378538,43.7378538,7.4281757
279442967@7.4283118/43.7379094,43.7379094,7.4283118
11409061519@7.4284448/43.7379687,43.7379687,7.4284448
9416148963@7.4285746/43.7380316,43.7380316,7.4285746
11409061520@7.4287010/43.7380981,43.7380981,7.428701
9416148980@7.4288239/43.7381679,43.7381679,7.4288239
11409061521@7.4289429/43.7382411,43.7382411,7.4289429
1736929676@7.4290580/43.7383175,43.7383175,7.429058
6485591907@7.4291984/43.7384192,43.7384192,7.4291984
21914359@7.4293318/43.7385256,43.7385256,7.4293318
6485591906@7.4294579/43.7386365,43.7386365,7.4294579
2264703507@7.4295765/43.7387517,43.7387517,7.4295765
25239162@7.4296871/43.7388710,43.738871,7.4296871
6485591905@7.4297897/43.7389939,43.7389939,7.4297897
9416148986@7.4298839/43.7391203,43.7391203,7.4298839
1720684274@7.4299695/43.7392499,43.7392499,7.4299695
6485591903@7.4300464/43.7393823,43.7393823,7.4300464
21914381@7.4301143/43.7395172,43.7395172,7.4301143
1280338640@7.4301731/43.7396543,43.7396543,7.4301731
6485591901@7.4302226/43.7397934,43.7397934,7.4302226
6485591900@7.4302628/43.7399340,43.739934,7.4302628
1720684293@7.4302935/43.7400758,43.7400758,7.4302935
6566017213@7.4303146/43.7402186,43.7402186,7.4303146
12136114443@7.4303209/43.7402961,43.7402961,7.4303209
519323656@7.4303262/43.7403619,43.7403619,7.4303262
4424273194@7.4215385/43.7403639,43.7403639,7.4215385
1690189886@7.4217999/43.7406083,43.7406083,7.4217999
1878857744@7.4220497/43.7408490,43.740849,7.4220497
642295524@7.4228139/43.7415765,43.7415765,7.4228139
1352289846@7.4259878/43.7450212,43.7450212,7.4259878
1352289834@7.4271042/43.7461353,43.7461353,7.4271042
1352289859@7.4296806/43.7483461,43.7483461,7.4296806
8762145226@7.4319050/43.7500695,43.7500695,7.431905
1352289871@7.4337256/43.7512152,43.7512152,7.4337256
1352289872@7.4347921/43.7517252,43.7517252,7.4347921
1352289939@7.4364449/43.7524634,43.7524634,7.4364449
642295571@7.4378046/43.7529636,43.7529636,7.4378046
1352289867@7.4392854/43.7533755,43.7533755,7.4392854
8762145224@7.4404103/43.7536325,43.7536325,7.4404103
1352289874@7.4415141/43.7538105,43.7538105,7.4415141
1352289862@7.4427554/43.7539174,43.7539174,7.4427554
1352289936@7.4455825/43.7539659,43.7539659,7.4455825
1352289875@7.4461445/43.7539882,43.7539882,7.4461445
1352289881@7.4468115/43.7540628,43.7540628,7.4468115
8762139302@7.4471225/43.7541130,43.754113,7.4471225
1352289905@7.4473972/43.7541653,43.7541653,7.4473972
8762145146@7.4477085/43.7542447,43.7542447,7.4477085
33014412@7.4479789/43.7543448,43.7543448,7.4479789
25198559@7.4190334/43.7382617,43.7382617,7.4190334
8733488630@7.4190028/43.7381669,43.7381669,7.4190028
10665475087@7.4189999/43.7381194,43.7381194,7.4189999
1079751574@7.4190047/43.7380812,43.7380812,7.4190047
3883559295@7.4190225/43.7380289,43.7380289,7.4190225
3883559294@7.4190532/43.7379714,43.7379714,7.4190532
25198576@7.4190909/43.7379227,43.7379227,7.4190909
8733488631@7.4191449/43.7378641,43.7378641,7.4191449
25198621@7.4192098/43.7378146,43.7378146,7.4192098
6471920432@7.4194207/43.7377094,43.7377094,7.4194207
25198656@7.4195993/43.7376460,43.737646,7.4195993
25193390@7.4211593/43.7367707,43.7367707,7.4211593
280488113@7.4210726/43.7367089,43.7367089,7.4210726
1878844644@7.4209803/43.7366235,43.7366235,7.4209803
6696346967@7.4209318/43.7365850,43.736585,7.4209318
25195173@7.4206536/43.7363642,43.7363642,7.4206536
25195221@7.4200957/43.7358991,43.7358991,7.4200957
9153994021@7.4198022/43.7356153,43.7356153,7.4198022
3883559129@7.4196581/43.7354786,43.7354786,7.4196581
25194134@7.4195648/43.7353926,43.7353926,7.4195648
25194120@7.4194465/43.7352804,43.7352804,7.4194465
5990705538@7.4193205/43.7351534,43.7351534,7.4193205
263074910@7.4192476/43.7350788,43.7350788,7.4192476
11158309961@7.4190596/43.7348869,43.7348869,7.4190596
11158309960@7.4188460/43.7346458,43.7346458,7.418846
1204288447@7.4187002/43.7344704,43.7344704,7.4187002
263075529@7.4186448/43.7344035,43.7344035,7.4186448
25194448@7.4185972/43.7343518,43.7343518,7.4185972
25194434@7.4185584/43.7343016,43.7343016,7.4185584
25194413@7.4185417/43.7342778,43.7342778,7.4185417
21914340@7.4231414/43.7369886,43.7369886,7.4231414
21914341@7.4233732/43.7370100,43.73701,7.4233732
1738369869@7.4238368/43.7370660,43.737066,7.4238368
1770577834@7.4240483/43.7370881,43.7370881,7.4240483
25239159@7.4247736/43.7371579,43.7371579,7.4247736
5601806444@7.4249187/43.7371701,43.7371701,7.4249187
2422123074@7.4253078/43.7372056,43.7372056,7.4253078
6485591925@7.4254946/43.7372239,43.7372239,7.4254946
273245503@7.4301626/43.7417650,43.741765,7.4301626
1736937908@7.4301111/43.7417775,43.7417775,7.4301111
1736937913@7.4300810/43.7417920,43.741792,7.430081
1736937921@7.4300450/43.7418190,43.741819,7.430045
273245999@7.4300165/43.7418430,43.741843,7.4300165
9239193015@7.4299752/43.7418810,43.741881,7.4299752
9239193019@7.4299519/43.7419175,43.7419175,7.4299519
273246000@7.4299447/43.7419627,43.7419627,7.4299447
273246211@7.4297697/43.7410018,43.7410018,7.4297697
10687075416@7.4298058/43.7410152,43.7410152,7.4298058
6485591889@7.4298386/43.7410327,43.7410327,7.4298386
10687075417@7.4298760/43.7410524,43.7410524,7.429876
1720684411@7.4299141/43.7410665,43.7410665,7.4299141
6485591890@7.4299652/43.7410805,43.7410805,7.4299652
6485591891@7.4300212/43.7410923,43.7410923,7.4300212
273246212@7.4300992/43.7411045,43.7411045,7.4300992
273246269@7.4301265/43.7411082,43.7411082,7.4301265
6485591893@7.4301739/43.7411007,43.7411007,7.4301739
1720684415@7.4302126/43.7410911,43.7410911,7.4302126
273246356@7.4302530/43.7410743,43.7410743,7.430253
1720684413@7.4302835/43.7410527,43.7410527,7.4302835
1074584981@7.4303071/43.7410294,43.7410294,7.4303071
6485591894@7.4303243/43.7410064,43.7410064,7.4303243
1737114566@7.4303392/43.7409721,43.7409721,7.4303392
1685061923@7.4303598/43.7408882,43.7408882,7.4303598
21912089@7.4259881/43.7389156,43.7389156,7.4259881
11449741815@7.4260900/43.7388571,43.7388571,7.42609
1110560521@7.4262495/43.7387673,43.7387673,7.4262495
9153994022@7.4263616/43.7387118,43.7387118,7.4263616
1110560516@7.4265116/43.7386376,43.7386376,7.4265116
9416148722@7.4267281/43.7385174,43.7385174,7.4267281
1737326497@7.4267889/43.7384836,43.7384836,7.4267889
21911969@7.4268360/43.7384518,43.7384518,7.426836
1737326467@7.4268673/43.7384267,43.7384267,7.4268673
12571844659@7.4268928/43.7384013,43.7384013,7.4268928
21911954@7.4269176/43.7383687,43.7383687,7.4269176
